2001:fe0:10:8:face:b00c:1155:a59        # z-m-scontent.fceb1-1.fna.fbcdn.net
2001:fe0:10:8:face:b00c:3333:a3f        # instagram.fceb1-1.fna.fbcdn.net
2400:4d40:f000:1:face:b00c:0:a7         # scontent.fdac11-1.fna.fbcdn.net
2400:6280:7:0:face:b00c:0:a7            # scontent.fbkk11-1.fna.fbcdn.net
2400:6280:7:0:face:b00c:3333:a3f        # instagram.fbkk11-1.fna.fbcdn.net
2400:8b00:300:2:face:b00c:3333:a3f      # instagram.fcgk11-1.fna.fbcdn.net
2400:8b00:a80:2:face:b00c:0:358e        # video.fmdc1-1.fna.fbcdn.net
2400:8b00:a80:2:face:b00c:0:a7          # scontent.fmdc1-1.fna.fbcdn.net
2400:8b00:a80:2:face:b00c:3333:1b26     # z-p3-external.fmdc1-1.fna.fbcdn.net
2400:8b00:a80:2:face:b00c:3333:a3f      # instagram.fmdc1-1.fna.fbcdn.net
2401:9640:1702:3:face:b00c:0:a7         # scontent.fdel10-1.fna.fbcdn.net
2401:9640:1702:3:face:b00c:3333:a3f     # instagram.fdel10-1.fna.fbcdn.net
2401:db00:20ff:ff35:face:b00c:0:75c6    # dev.facebook.com
2401:db00:ff:ff2b:face:b00c:0:63a3      # ctscan.facebook.com
2401:db00:ff:fff6:face:b00c:0:462d      # interngraph.scgraph.facebook.com
2402:7500:601:2:face:b00c:0:a7          # scontent.ftpe11-1.fna.fbcdn.net
2402:7500:601:2:face:b00c:3333:a3f      # instagram.ftpe11-1.fna.fbcdn.net
2402:800:6151:102:face:b00c:0:a7        # external.fhan5-2.fna.fbcdn.net
2402:9d80:101:4:face:b00c:3333:a3f      # instagram.fsgn10-1.fna.fbcdn.net
2403:c300:261:0:face:b00c:0:a7          # scontent.ftpe2-1.fna.fbcdn.net
2404:0:10a5:80a6:face:b00c:0:358e       # video.ftpe10-1.fna.fbcdn.net
2404:0:10a5:80a6:face:b00c:0:a7         # external.ftpe10-1.fna.fbcdn.net
2404:0:10a5:80a6:face:b00c:3333:a3f     # instagram.ftpe10-1.fna.fbcdn.net
2404:1c40:a:1:face:b00c:0:358e          # video.fdac1-1.fna.fbcdn.net
2404:1c40:a:1:face:b00c:0:a7            # scontent.fdac1-1.fna.fbcdn.net
2404:1c40:a:1:face:b00c:1155:a59        # z-m-scontent.fdac1-1.fna.fbcdn.net
2404:1c40:a:1:face:b00c:3333:1b26       # z-p3-scontent.fdac1-1.fna.fbcdn.net
2404:1c40:a:1:face:b00c:3333:a3f        # instagram.fdac1-1.fna.fbcdn.net
2404:4a00:3293:4001:face:b00c:0:a7      # scontent.fbkk5-2.fna.fbcdn.net
2404:7000:1000:0:face:b00c:0:a7         # scontent.fisb5-1.fna.fbcdn.net
2404:7000:b110:0:face:b00c:0:358e       # video.fkhi11-1.fna.fbcdn.net
2404:7000:b110:0:face:b00c:0:a7         # scontent.fkhi11-1.fna.fbcdn.net
2404:7c00:1:2:face:b00c:3333:a3f        # instagram.fktm10-1.fna.fbcdn.net
2404:a800:6:126:face:b00c:0:358e        # video.fmaa1-1.fna.fbcdn.net
2404:a800:6:126:face:b00c:0:a7          # external.fmaa1-1.fna.fbcdn.net
2404:a800:6:126:face:b00c:1155:a59      # z-1-scontent.fmaa1-1.fna.fbcdn.net
2404:a800:6:126:face:b00c:3333:a3f      # instagram.fmaa1-1.fna.fbcdn.net
2404:b300:23:0:face:b00c:0:358e         # video.fpnh10-1.fna.fbcdn.net
2404:b300:23:0:face:b00c:0:a7           # scontent.fpnh10-1.fna.fbcdn.net
2404:b300:23:0:face:b00c:3333:1b26      # z-p3-scontent.fpnh10-1.fna.fbcdn.net
2404:b300:23:0:face:b00c:3333:a3f       # instagram.fpnh10-1.fna.fbcdn.net
2404:c0:2400:4:face:b00c:3333:a3f       # instagram.fcgk9-1.fna.fbcdn.net
2404:c800:8202:5:face:b00c:0:a7         # scontent.fhkg4-2.fna.fbcdn.net
2404:d400:4000:20:face:b00c:0:358e      # video.fkhi10-1.fna.fbcdn.net
2404:d400:4000:20:face:b00c:0:a7        # scontent.fkhi10-1.fna.fbcdn.net
2404:d400:4000:20:face:b00c:3333:a3f    # instagram.fkhi10-1.fna.fbcdn.net
2405:200:1605:2885:face:b00c:0:358e     # video.fdel11-1.fna.fbcdn.net
2405:200:1605:2885:face:b00c:0:a7       # external.fdel11-1.fna.fbcdn.net
2405:200:1605:2885:face:b00c:3333:a3f   # instagram.fdel11-1.fna.fbcdn.net
2405:5700:1:2:face:b00c:0:a7            # scontent.fuln6-1.fna.fbcdn.net
2405:9800:10:0:face:b00c:0:a7           # scontent.fbkk12-2.fna.fbcdn.net
2405:9800:20:0:face:b00c:0:a7           # scontent.fbkk9-2.fna.fbcdn.net
2405:9800:40:0:face:b00c:0:a7           # scontent.fbkk8-2.fna.fbcdn.net
2405:9800:40:1:face:b00c:0:a7           # scontent.fbkk8-3.fna.fbcdn.net
2405:9800:8:3200:face:b00c:0:a7         # scontent.fbkk12-1.fna.fbcdn.net
2407:a600:91c:e008:face:b00c:0:a7       # scontent.fsub1-1.fna.fbcdn.net
2407:a600:91c:e008:face:b00c:3333:1b26  # z-p3-scontent.fsub1-1.fna.fbcdn.net
2407:a600:91c:e008:face:b00c:3333:a3f   # instagram.fsub1-1.fna.fbcdn.net
2407:b400:51:3:face:b00c:0:a7           # external.fhkg2-1.fna.fbcdn.net
2600:1402:b800:1a::6847:8fcf            # fbcdn-profile-a.akamaihd.net
2600:1402:b800:1a::6847:8fd1            # fbcdn-profile-a.akamaihd.net
2600:1402:b800:1a::6847:8fd5            # fbcdn-profile-a.akamaihd.net
2600:1402:b800:1a::6847:8fd6            # fbcdn-profile-a.akamaihd.net
2600:1402:b800:1a::6847:8fd9            # fbcdn-profile-a.akamaihd.net
2600:5801:4003:2:face:b00c:0:358e       # video.ftpa1-1.fna.fbcdn.net
2600:5801:4003:2:face:b00c:0:a7         # external.ftpa1-1.fna.fbcdn.net
2600:5801:4003:2:face:b00c:1155:a59     # sonar.ftpa1-1.fna.fbcdn.net
2600:5801:4003:2:face:b00c:3333:1b26    # z-p3-scontent.ftpa1-1.fna.fbcdn.net
2600:5801:4003:2:face:b00c:3333:a3f     # instagram.ftpa1-1.fna.fbcdn.net
2600:5801:4003:3:face:b00c:0:a7         # scontent.ftpa1-2.fna.fbcdn.net
2604:d600:0:12:face:b00c:0:a7           # scontent.felp1-1.fna.fbcdn.net
2604:d600:0:12:face:b00c:3333:a3f       # instagram.felp1-1.fna.fbcdn.net
2606:4700:7::a29f:810b                  # investor.fb.com
2606:4700:7::a29f:820b                  # investor.fb.com
2606:9400:f800:221:face:b00c:0:a7       # scontent.fwbw1-1.fna.fbcdn.net
2607:f8b0:4009:80b::2014                # facebook-web-clients.appspot.com
2607:f920:0:17:face:b00c:0:a7           # scontent.fcha1-1.fna.fbcdn.net
2620:0:1cff:dead:beee::151e             # ae12.pr01.ams3.tfbnw.net
2620:0:1cff:dead:beee::1920             # ae13.pr01.hkg1.tfbnw.net
2620:0:1cff:dead:beee::1ee6             # ae10.pr02.sin1.tfbnw.net
2620:0:1cff:dead:beee::21b4             # ae10.pr02.atl1.tfbnw.net
2620:0:1cff:dead:beee::606              # ae13.pr01.ams2.tfbnw.net
2620:0:1cff:dead:beee::836              # ae0.pr01.ams3.tfbnw.net
2620:0:1cff:dead:beee::920              # ae12.pr01.ams2.tfbnw.net
2620:0:1cff:dead:beee::b1e              # ae11.pr01.hkg1.tfbnw.net
2620:0:1cff:dead:beef::1441             # ae29.bb02.mia1.tfbnw.net
2620:0:1cff:dead:beef::1570             # ae13.bb01.mia1.tfbnw.net
2620:0:1cff:dead:beef::1f14             # ae10.bb01.mia1.tfbnw.net
2620:0:1cff:dead:beef::227e             # ae10.bb02.mia1.tfbnw.net
2620:0:1cff:dead:beef::2280             # ae13.bb02.mia1.tfbnw.net
2620:0:1cff:dead:beef::3880             # ae11.bb02.sin1.tfbnw.net
2620:0:1cff:dead:beef::3a9e             # ae10.bb01.atl1.tfbnw.net
2620:0:1cff:dead:beef::3a9f             # ae10.bb02.atl1.tfbnw.net
2620:0:1cff:dead:beef::52               # ae0.bb01.bos2.tfbnw.net
2620:0:1cff:dead:beef::53               # ae0.bb02.bos2.tfbnw.net
2620:0:1cff:dead:beef::d0a              # ae10.bb02.hkg1.tfbnw.net
2620:0:1cff:dead:beef:ffff:ffff:ee98    # bb04.sjc1.tfbnw.net
2620:0:1cff:dead:beef:ffff:ffff:eef7    # pr01.sin1.tfbnw.net
2620:0:1cff:dead:beef:ffff:ffff:f573    # bb01.cdg1.tfbnw.net
2620:0:1cff:dead:beef:ffff:ffff:f861    # dr01.snc1.tfbnw.net
2620:0:1cff:dead:beef:ffff:ffff:fa83    # oobvpn1.sin1.tfbnw.net
2620:0:1cff:dead:beef:ffff:ffff:fcc5    # bb01.sea1.tfbnw.net
2620:0:1cff:dead:beef:ffff:ffff:febc    # oobvpn1.hkg1.tfbnw.net
2620:0:1cff:dead:bef0:ffff:ffff:fe45    # msw1ao.01.gru2.tfbnw.net
2620:0:1cff:dead:bef0:ffff:ffff:ff6c    # msw1ac.01.sea1.tfbnw.net
2620:107:4008:257::2                    # ae0.pr02.iad3.tfbnw.net
2620:10d:c090:450::32                   # apache.mirror.facebook.net
2800:150:3:4:face:b00c:0:358e           # video.fscl10-1.fna.fbcdn.net
2800:150:3:4:face:b00c:0:a7             # scontent.fscl10-1.fna.fbcdn.net
2800:150:3:4:face:b00c:3333:a3f         # instagram.fscl10-1.fna.fbcdn.net
2800:150:3:5:face:b00c:0:358e           # video.fscl11-1.fna.fbcdn.net
2800:150:3:5:face:b00c:0:a7             # scontent.fscl11-1.fna.fbcdn.net
2800:150:3:5:face:b00c:3333:a3f         # instagram.fscl11-1.fna.fbcdn.net
2800:200:2809:0:face:b00c:0:a7          # scontent.flim1-2.fna.fbcdn.net
2800:2d20:100d:1:face:b00c:3333:a3f     # instagram.faep9-1.fna.fbcdn.net
2800:300:0:10c:face:b00c:0:a7           # scontent.fscl9-1.fna.fbcdn.net
2800:300:0:20d:face:b00c:0:a7           # scontent.fscl13-1.fna.fbcdn.net
2800:6f0:20:200:face:b00c:0:358e        # video.fpra1-1.fna.fbcdn.net
2800:6f0:20:200:face:b00c:0:a7          # external.fpra1-1.fna.fbcdn.net
2800:6f0:20:200:face:b00c:3333:a3f      # instagram.fpra1-1.fna.fbcdn.net
2800:a0:10:503:face:b00c:0:358e         # video.fmvd1-1.fna.fbcdn.net
2800:af0:0:a:face:b00c:0:358e           # video.faep10-1.fna.fbcdn.net
2800:af0:0:a:face:b00c:0:a7             # scontent.faep10-1.fna.fbcdn.net
2800:af0:0:a:face:b00c:3333:a3f         # instagram.faep10-1.fna.fbcdn.net
2800:cd0:3:1:face:b00c:0:358e           # video.flpb1-1.fna.fbcdn.net
2800:cd0:3:1:face:b00c:0:a7             # scontent.flpb1-1.fna.fbcdn.net
2800:cd0:3:1:face:b00c:3333:1b26        # z-p3-video.flpb1-1.fna.fbcdn.net
2800:cd0:3:1:face:b00c:3333:a3f         # instagram.flpb1-1.fna.fbcdn.net
2800:e0:cf0:beef:face:b00c:0:a7         # scontent.feoh1-1.fna.fbcdn.net
2800:e0:cf5:beef:face:b00c:0:358e       # video.fbog10-1.fna.fbcdn.net
2800:e0:cf5:beef:face:b00c:0:a7         # scontent.fbog10-1.fna.fbcdn.net
2800:e0:cf5:beef:face:b00c:3333:a3f     # instagram.fbog10-1.fna.fbcdn.net
2803:4180:0:3:face:b00c:0:a7            # scontent.fuio10-1.fna.fbcdn.net
2803:9400:0:100:face:b00c:0:358e        # video.fcbb1-1.fna.fbcdn.net
2803:9400:0:100:face:b00c:0:a7          # scontent.fcbb1-1.fna.fbcdn.net
2803:9400:0:100:face:b00c:3333:a3f      # instagram.fcbb1-1.fna.fbcdn.net
2803:c800:0:2:face:b00c:0:a7            # scontent.fgua1-1.fna.fbcdn.net
2803:c800:0:2:face:b00c:3333:a3f        # instagram.fgua1-1.fna.fbcdn.net
2803:e600:face:0:face:b00c:0:a7         # scontent.fpac1-1.fna.fbcdn.net
2803:e600:face:0:face:b00c:3333:a3f     # instagram.fpac1-1.fna.fbcdn.net
2804:1080:8001:0:face:b00c:3333:a3f     # instagram.fppb1-1.fna.fbcdn.net
2804:108c:f000:5:face:b00c:0:a7         # scontent.fpfb1-1.fna.fbcdn.net
2804:108c:f000:5:face:b00c:3333:1b26    # z-p3-video.fpfb1-1.fna.fbcdn.net
2804:14c:85f9:5:face:b00c:0:a7          # scontent.fcgb1-1.fna.fbcdn.net
2804:14c:85f9:5:face:b00c:3333:a3f      # instagram.fcgb1-1.fna.fbcdn.net
2804:14c:87f9:f:face:b00c:0:a7          # scontent.fbfh10-1.fna.fbcdn.net
2804:14c:87f9:f:face:b00c:3333:a3f      # instagram.fbfh10-1.fna.fbcdn.net
2804:14c:daf9:6:face:b00c:0:358e        # video.fjpa1-1.fna.fbcdn.net
2804:14c:daf9:6:face:b00c:0:a7          # scontent.fjpa1-1.fna.fbcdn.net
2804:14c:daf9:6:face:b00c:3333:1b26     # z-p3-scontent.fjpa1-1.fna.fbcdn.net
2804:14c:daf9:6:face:b00c:3333:a3f      # instagram.fjpa1-1.fna.fbcdn.net
2804:14d:10f9:2:face:b00c:0:a7          # scontent.fmea1-1.fna.fbcdn.net
2804:14d:10f9:2:face:b00c:3333:a3f      # instagram.fmea1-1.fna.fbcdn.net
2804:14d:78f9:6:face:b00c:3333:a3f      # instagram.fcgh3-1.fna.fbcdn.net
2804:1bf0:face:0:face:b00c:3333:a3f     # instagram.faju10-1.fna.fbcdn.net
2804:214:800f:12:face:b00c:0:a7         # scontent.fbsb11-1.fna.fbcdn.net
2804:214:800f:12:face:b00c:3333:1b26    # z-p3-scontent.fbsb11-1.fna.fbcdn.net
2804:214:800f:12:face:b00c:3333:a3f     # instagram.fbsb11-1.fna.fbcdn.net
2804:22c:e123:cb:face:b00c:3333:a3f     # instagram.fldb1-1.fna.fbcdn.net
2804:2778:0:fb:face:b00c:3333:a3f       # instagram.fvdc1-1.fna.fbcdn.net
2804:28e4:e024:0:face:b00c:0:358e       # video.fsdu10-1.fna.fbcdn.net
2804:28e4:e024:0:face:b00c:0:a7         # external.fsdu10-1.fna.fbcdn.net
2804:28e4:e024:0:face:b00c:3333:1b26    # z-p3-scontent.fsdu10-1.fna.fbcdn.net
2804:28e4:e024:0:face:b00c:3333:a3f     # instagram.fsdu10-1.fna.fbcdn.net
2804:2904:0:4:face:b00c:3333:a3f        # instagram.fgyn10-1.fna.fbcdn.net
2804:29b8:1001:12:face:b00c:3333:a3f    # instagram.fjdo10-1.fna.fbcdn.net
2804:2ea8:0:1:face:b00c:3333:a3f        # instagram.fcau10-1.fna.fbcdn.net
2804:7f4:1:cacf:face:b00c:0:a7          # scontent.fcac1-1.fna.fbcdn.net
2804:7f4:1:cacf:face:b00c:3333:a3f      # instagram.fcac1-1.fna.fbcdn.net
2804:7f6:9002:0:face:b00c:0:358e        # video.fria1-1.fna.fbcdn.net
2804:7f6:9002:0:face:b00c:0:a7          # scontent.fria1-1.fna.fbcdn.net
2804:840:10:11:face:b00c:3333:a3f       # instagram.fiza1-1.fna.fbcdn.net
2804:9e0:4000:3:face:b00c:0:a7          # scontent.fssa11-1.fna.fbcdn.net
2804:9e0:4000:3:face:b00c:3333:a3f      # instagram.fssa11-1.fna.fbcdn.net
2804:a8:8800:400:face:b00c:0:358e       # video.fbsb1-1.fna.fbcdn.net
2804:a8:8800:400:face:b00c:0:a7         # external.fbsb1-1.fna.fbcdn.net
2804:a8:8800:400:face:b00c:3333:1b26    # z-p3-scontent.fbsb1-1.fna.fbcdn.net
2804:a8:8800:400:face:b00c:3333:a3f     # instagram.fbsb1-1.fna.fbcdn.net
2804:a8:9000:8:face:b00c:0:358e         # video.fssa1-1.fna.fbcdn.net
2804:a8:9000:8:face:b00c:0:a7           # scontent.fssa1-1.fna.fbcdn.net
2804:a8:9000:8:face:b00c:3333:a3f       # instagram.fssa1-1.fna.fbcdn.net
2804:a8:d000:300:face:b00c:0:358e       # video.fpoa1-1.fna.fbcdn.net
2804:a8:d000:300:face:b00c:0:a7         # scontent.fpoa1-1.fna.fbcdn.net
2804:a8:d000:300:face:b00c:3333:a3f     # instagram.fpoa1-1.fna.fbcdn.net
2804:b:c004:0:face:b00c:0:a7            # scontent.fbsb10-1.fna.fbcdn.net
2804:b:c004:0:face:b00c:3333:a3f        # instagram.fbsb10-1.fna.fbcdn.net
2804:cc8::face:b00c:0:358e              # video.fssa10-1.fna.fbcdn.net
2804:cc8::face:b00c:0:a7                # scontent.fssa10-1.fna.fbcdn.net
2804:cc8::face:b00c:3333:a3f            # instagram.fssa10-1.fna.fbcdn.net
2804:d40:80:5007:face:b00c:0:358e       # video.fsdu11-1.fna.fbcdn.net
2804:d40:80:5007:face:b00c:0:a7         # external.fsdu11-1.fna.fbcdn.net
2804:d40:80:5007:face:b00c:3333:1b26    # z-p3-scontent.fsdu11-1.fna.fbcdn.net
2804:d40:80:5007:face:b00c:3333:a3f     # instagram.fsdu11-1.fna.fbcdn.net
2804:d40:82:d005:face:b00c:0:358e       # video.ffor11-1.fna.fbcdn.net
2804:d40:82:d005:face:b00c:0:a7         # scontent.ffor11-1.fna.fbcdn.net
2804:d40:82:d005:face:b00c:3333:1b26    # z-p3-scontent.ffor11-1.fna.fbcdn.net
2804:d40:82:d005:face:b00c:3333:a3f     # instagram.ffor11-1.fna.fbcdn.net
2804:d40:82:d005:face:b00c:4444:5067    # z-p4-instagram.ffor11-1.fna.fbcdn.net
2804:d40:82:e002:face:b00c:0:358e       # video.ffor10-1.fna.fbcdn.net
2804:d40:82:e002:face:b00c:0:a7         # external.ffor10-1.fna.fbcdn.net
2804:d40:82:e002:face:b00c:3333:1b26    # z-p3-scontent.ffor10-1.fna.fbcdn.net
2804:d40:82:e002:face:b00c:3333:a3f     # instagram.ffor10-1.fna.fbcdn.net
2804:d50:81:a003:face:b00c:0:358e       # video.fpoa11-1.fna.fbcdn.net
2804:d50:81:a003:face:b00c:0:a7         # scontent.fpoa11-1.fna.fbcdn.net
2804:d50:81:a003:face:b00c:3333:a3f     # instagram.fpoa11-1.fna.fbcdn.net
2804:e30:417:1:face:b00c:0:a7           # scontent.fplu10-1.fna.fbcdn.net
2804:e30:417:1:face:b00c:3333:a3f       # instagram.fplu10-1.fna.fbcdn.net
2804:ea0:face:2:face:b00c:3333:a3f      # instagram.fpoa21-1.fna.fbcdn.net
2806:1020:cbff:fe:face:b00c:0:a7        # scontent.fgdl5-1.fna.fbcdn.net
2806:1040:cbff:fe:face:b00c:0:358e      # video.fmex10-1.fna.fbcdn.net
2806:1040:cbff:fe:face:b00c:0:a7        # scontent.fmex10-1.fna.fbcdn.net
2806:1040:cbff:fe:face:b00c:1155:a59    # z-m-scontent.fmex10-1.fna.fbcdn.net
2806:1040:cbff:fe:face:b00c:3333:1b26   # z-p3-scontent.fmex10-1.fna.fbcdn.net
2806:1040:cbff:fe:face:b00c:3333:a3f    # instagram.fmex10-1.fna.fbcdn.net
2806:1070:cbff:fe:face:b00c:0:a7        # scontent.fmex11-1.fna.fbcdn.net
2806:1070:cbff:fe:face:b00c:3333:a3f    # instagram.fmex11-1.fna.fbcdn.net
2806:10a8:cbff:fe:face:b00c:0:a7        # scontent.fpbc2-1.fna.fbcdn.net
2806:10a8:cbff:fe:face:b00c:3333:a3f    # instagram.fpbc2-1.fna.fbcdn.net
2806:260:1001:6:face:b00c:0:a7          # scontent.fpbc1-1.fna.fbcdn.net
2806:260:1001:6:face:b00c:3333:a3f      # instagram.fpbc1-1.fna.fbcdn.net
2806:2f0:935f:1:face:b00c:0:a7          # external.fmex5-1.fna.fbcdn.net
2a00:1298:8017:0:face:b00c:0:a7         # scontent.fbts4-1.fna.fbcdn.net
2a00:12f8:500:d:face:b00c:3333:a3f      # instagram.fala4-2.fna.fbcdn.net
2a00:a040:3:4:face:b00c:0:358e          # video.fhfa1-1.fna.fbcdn.net
2a00:a040:3:4:face:b00c:0:a7            # external.fhfa1-1.fna.fbcdn.net
2a00:a040:3:4:face:b00c:3333:a3f        # instagram.fhfa1-1.fna.fbcdn.net
2a00:cc40:1:80a6:face:b00c:0:358e       # video.fevn1-1.fna.fbcdn.net
2a00:f28:3:80:face:b00c:0:358e          # video.fdxb1-1.fna.fbcdn.net
2a00:f28:3:80:face:b00c:0:a7            # external.fdxb1-1.fna.fbcdn.net
2a00:f28:3:80:face:b00c:3333:1b26       # z-p3-scontent.fdxb1-1.fna.fbcdn.net
2a00:f28:3:80:face:b00c:3333:a3f        # instagram.fdxb1-1.fna.fbcdn.net
2a00:f28:3:81:face:b00c:0:a7            # external.fauh1-1.fna.fbcdn.net
